AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-1010,First-Line Supervisors of Sales Workers,broad,1303400,0.5,,,,26.54,55200,0.2,13.49,16.7,22.15,31.02,44.78,28070,34730,46070,64520,93140,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-1011,First-Line Supervisors of Retail Sales Workers,detailed,1063110,0.5,,,,22.74,47300,0.2,13.11,15.9,19.99,26.87,35.01,27260,33070,41580,55880,72810,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,240290,0.9,,,,43.33,90120,0.4,21.57,28.3,37.77,52.43,72.98,44860,58850,78560,109050,151790,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-2000,Retail Sales Workers,minor,7628920,0.3,,,,13.95,29010,0.2,9.31,10.71,12.63,15.13,19.41,19360,22270,26270,31470,40370,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-2010,Cashiers,broad,3347090,0.7,,,,12.37,25730,0.2,9.07,10.25,12.03,13.87,15.7,18860,21320,25020,28850,32650,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-2022,Parts Salespersons,detailed,253870,1.3,,,,17.48,36350,0.5,10.18,12.48,15.61,20.73,27.7,21170,25970,32460,43120,57620,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-2030,Retail Salespersons,broad,3659670,0.6,,,,14.87,30940,0.2,9.49,11.01,13.02,15.86,21.43,19740,22900,27080,32990,44570,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-3000,"Sales Representatives, Services",minor,1992540,0.5,,,,36.14,75170,0.5,14.52,19.27,27.77,41.89,67.88,30210,40090,57760,87120,141200,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-3010,Advertising Sales Agents,broad,110040,1.9,,,,32.71,68040,1.3,12.83,17.65,26.41,39.43,59.63,26700,36720,54940,82020,124030,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-3020,Insurance Sales Agents,broad,409950,1.1,,,,33.22,69100,0.9,13.94,18.07,25.08,38.08,61.46,29000,37590,52180,79200,127840,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-3090,"Miscellaneous Sales Representatives, Services",broad,977070,0.8,,,,33.89,70490,0.5,13.99,19.1,28.25,41.07,61.93,29110,39730,58770,85430,128820,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-9021,Real Estate Brokers,detailed,44610,4.2,,,,39.25,81630,3.8,12.24,18.35,29.02,46.67,83.71,25460,38170,60370,97080,174120,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-9022,Real Estate Sales Agents,detailed,168740,2.0,,,,30.28,62990,1.7,12.07,16.05,23.58,36.88,54.05,25100,33370,49040,76720,112410,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-9030,Sales Engineers,broad,63780,3.2,,,,56.38,117270,1.2,29.2,38.31,52.32,71.17,88.55,60730,79670,108830,148040,184190,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-2000,Communications Equipment Operators,minor,66960,3.0,,,,16.85,35050,1.1,10.95,13.01,15.41,19.22,25,22780,27060,32060,39980,51990,,
