AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000_ORIG,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-2072,Pile Driver Operators,detailed,3540,8.4,,,,33.76,70230,3.5,17.39,22.17,30.1,45.37,54.72,36160,46110,62600,94360,113820,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-2111,Electricians,detailed,688620,0.9,,,,29.02,60370,0.5,16.06,20.28,27.01,35.55,46.43,33410,42180,56180,73940,96580,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-2132,"Insulation Workers, Mechanical",detailed,26670,4.5,,,,26.02,54120,1.8,15.33,18.33,23.41,30.41,42.96,31880,38130,48690,63240,89350,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-2181,Roofers,detailed,129690,1.9,,,,22.03,45820,1.0,12.76,15.94,20.24,26.65,34.1,26540,33160,42100,55440,70920,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-2211,Sheet Metal Workers,detailed,131300,2.1,,,,26.19,54480,0.9,14.07,17.8,24.23,32.1,42.34,29260,37020,50400,66770,88070,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-2231,Solar Photovoltaic Installers,detailed,11080,9.1,,,,22.52,46850,2.0,15.19,17.46,21.58,26.77,30.71,31600,36310,44890,55680,63880,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-3012,Helpers--Carpenters,detailed,32920,3.1,,,,16.26,33830,0.9,10.89,12.95,15.89,18.7,22.88,22640,26940,33060,38900,47580,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-3013,Helpers--Electricians,detailed,79260,3.0,,,,16.49,34300,0.7,11.16,13.09,15.78,18.91,23.47,23200,27230,32830,39320,48810,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-3016,Helpers--Roofers,detailed,8960,9.6,,,,16.04,33350,1.9,11.05,13.03,15.44,18.47,22.6,22980,27100,32110,38420,47000,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-4051,Highway Maintenance Workers,detailed,150860,0.8,,,,20.39,42410,0.3,12.9,15.95,19.58,24.23,29.09,26840,33180,40730,50390,60520,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-5041,Continuous Mining Machine Operators,detailed,14630,4.4,,,,27.18,56530,1.4,18.38,21.78,26.58,32.56,37.28,38240,45290,55280,67730,77540,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-2091,Avionics Technicians,detailed,21750,7.3,,,,32.2,66970,1.5,19.4,25.79,31.59,38.86,46.7,40350,53650,65700,80840,97150,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detailed,147800,1.3,,,,26.36,54840,0.4,16.78,20.65,25.66,30.81,37.5,34900,42940,53370,64080,77990,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-3043,Rail Car Repairers,detailed,25930,6.0,,,,27.31,56810,1.8,16.9,21.1,27.11,33.69,38.23,35150,43890,56390,70070,79510,,
