AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-3043,Rail Car Repairers,detailed,19480,1.9,,,,,31.58,65690,0.6,21.22,23.99,31.27,37.62,42.44,44140,49900,65030,78240,88280,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-3050,Small Engine Mechanics,broad,73630,1.5,,,,,23.11,48070,0.3,15.18,18,22.36,27.4,31.54,31580,37440,46500,57000,65600,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-3052,Motorcycle Mechanics,detailed,14330,3.2,,,,,23.06,47960,0.6,14.52,17.78,22.24,27.94,32.56,30200,36980,46270,58110,67730,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-3091,Bicycle Repairers,detailed,13980,4.2,,,,,18.92,39360,0.8,13.78,16.41,18.42,21.7,23.51,28670,34140,38320,45130,48910,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-3092,Recreational Vehicle Service Technicians,detailed,17360,5.2,,,,,24.37,50690,1.0,16.18,18.6,23.05,28.94,34.85,33660,38690,47950,60200,72500,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-9011,Mechanical Door Repairers,detailed,27800,3.9,,,,,24.83,51640,0.8,17.42,20.35,23.39,28.7,33.53,36240,42330,48650,59700,69750,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-9030,Home Appliance Repairers,broad,29950,2.6,,,,,24.35,50640,1.7,14.95,18.11,22.68,28.48,34.93,31100,37660,47170,59240,72660,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-9041,Industrial Machinery Mechanics,detailed,412650,0.6,,,,,30.62,63690,0.3,20.38,23.94,29.53,36.07,41.33,42390,49780,61420,75030,85970,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-9043,"Maintenance Workers, Machinery",detailed,58040,1.5,,,,,28.13,58500,0.4,18,22.25,27.57,32.37,38.83,37440,46280,57350,67320,80770,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-9044,Millwrights,detailed,37930,2.4,,,,,30.92,64310,0.8,20.75,24.77,30.28,36.72,39.76,43160,51530,62980,76380,82700,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-9045,"Refractory Materials Repairers, Except Brickmasons",detailed,540,9.9,,,,,23.99,49900,1.5,14.97,17.18,23.27,30.13,33.65,31130,35730,48410,62670,69990,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-9062,Medical Equipment Repairers,detailed,64400,2.2,,,,,30.84,64140,0.9,17.7,21.72,29.17,37.58,47.01,36810,45180,60670,78160,97780,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-9080,Wind Turbine Service Technicians,broad,9800,6.7,,,,,31.43,65380,1.5,22.77,25.37,29.7,36.03,43.41,47360,52770,61770,74940,90300,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-0000,Production Occupations,major,8770170,0.1,,,,,22.9,47620,0.2,14.69,17.3,20.98,26.39,33.83,30550,35980,43630,54880,70370,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-1000,Supervisors of Production Workers,minor,671160,0.3,,,,,34.48,71730,0.2,20.93,25,31.7,39.75,49.9,43540,52000,65930,82680,103780,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-5100,Printing Workers,minor,213920,0.7,,,,,21.17,44030,0.3,14.3,17,19.65,23.83,29.31,29750,35370,40870,49560,60970,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-5112,Printing Press Operators,detailed,151450,1.1,,,,,21.37,44450,0.4,14.32,17.1,20.13,24.12,29.57,29790,35560,41860,50160,61500,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6030,Sewing Machine Operators,broad,116130,1.3,,,,,16.83,35000,0.4,12.19,14.27,16.56,18.43,21.81,25360,29690,34440,38340,45360,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7000,Woodworkers,minor,216330,0.9,,,,,20.3,42210,0.3,14.28,16.94,18.92,22.88,27.6,29700,35240,39350,47590,57400,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7031,"Model Makers, Wood",detailed,590,14.1,,,,,25.25,52510,3.7,16.29,18,21.66,30.65,40.43,33880,37440,45040,63740,84090,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7032,"Patternmakers, Wood",detailed,260,19.8,,,,,25.16,52330,4.0,18.61,21.03,23.38,26.46,36.28,38700,43730,48630,55030,75460,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7090,Miscellaneous Woodworkers,broad,7830,4.9,,,,,19,39520,1.0,13.58,15.65,18.15,21.56,26.28,28250,32540,37760,44840,54660,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7099,"Woodworkers, All Other",detailed,7830,4.9,,,,,19,39520,1.0,13.58,15.65,18.15,21.56,26.28,28250,32540,37760,44840,54660,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8011,Nuclear Power Reactor Operators,detailed,5760,1.4,,,,,58.29,121240,0.4,44.36,49.94,57.86,64.47,73.07,92270,103880,120350,134100,151980,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8013,Power Plant Operators,detailed,31490,1.9,,,,,44.17,91880,0.5,26,35.03,46.64,51.34,59.19,54080,72860,97010,106780,123120,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8092,Gas Plant Operators,detailed,15930,4.3,,,,,39.91,83020,0.9,25.64,31.85,39.69,47.68,52.09,53330,66250,82560,99180,108340,,
